vulnerability_id,file_path,cwe_id,fix_commit_hash,original_commit_hash,vulnerability_type,evaluation_result,evaluation_details,detected_line_numbers,created_at,repository,source_tool
commit-b0c56b895fd2694d7f5d4595bdbbc41916607f45,tests/csrf_tests/tests.py,CWE-352,dba44a7a7a3581ec722e06fa0f9f33dfc00ed5cd,b0c56b895fd2694d7f5d4595bdbbc41916607f45,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[372,373]",2025-05-14 19:27:52,django_security_analysis,gpt-4
commit-b6b8a3f66b5cf4f00bd7ce668ac04f21bb73e0b9,docs/ref/index.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,b6b8a3f66b5cf4f00bd7ce668ac04f21bb73e0b9,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:27:56,django_security_analysis,gpt-4
commit-b6c5f8060d45a7cffe42928a4b67b6a4e2ba9264,docs/ref/contrib/csrf.txt,CWE-352,0447cc123118c4740ccc6e25914f0e30308da55e,b6c5f8060d45a7cffe42928a4b67b6a4e2ba9264,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:27:58,django_security_analysis,gpt-4
commit-ba50d3e05bc9a33aef495a5fbca239afe52237b3,docs/ref/contrib/csrf.txt,CWE-352,720888a14699a80a6cd07d32514b9dcd5b1005fb,ba50d3e05bc9a33aef495a5fbca239afe52237b3,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:28:01,django_security_analysis,gpt-4
commit-ba53cd30d1427dbbd564b1791ef6348db93cf37f,tests/regressiontests/utils/tests.py,CWE-327,243d0bec1954ad7fab44625f1440a8ce580df26c,ba53cd30d1427dbbd564b1791ef6348db93cf37f,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-327, expected CWE-352","[6,6]",2025-05-14 19:28:13,django_security_analysis,gpt-4
commit-bb15cee58a43eeb0d060f8a31f9078b3406f195a,django/contrib/admin/templates/admin/change_list.html,CWE-79,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,bb15cee58a43eeb0d060f8a31f9078b3406f195a,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[6,6]",2025-05-14 19:28:30,django_security_analysis,gpt-4
commit-be25b661b1b2179273b886ec45d4b449a9997a8d,django/conf/project_template/settings.py,CWE-209,2d287247308ea5e40214f4564b91b633959902a9,be25b661b1b2179273b886ec45d4b449a9997a8d,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-209, expected CWE-352","[1,1]",2025-05-14 19:28:44,django_security_analysis,gpt-4
commit-c07f3e60c2d455e36ba4ac339d4283d32bbc3814,docs/releases/1.4.11.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,c07f3e60c2d455e36ba4ac339d4283d32bbc3814,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[31,49]",2025-05-14 19:28:54,django_security_analysis,gpt-4
commit-c4c128d67c7dc2830631c6859a204c9d259f1fb1,tests/csrf_tests/views.py,CWE-352,9d5a487f334a93de3fdcadba0caa09cbafa0d5d6,c4c128d67c7dc2830631c6859a204c9d259f1fb1,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[8,10]",2025-05-14 19:29:10,django_security_analysis,gpt-4
commit-c5c7791e91649a82346e720c86a7a1fa77eb4cd5,django/views/csrf.py,CWE-79,a3bb4df8956185c345e3a4c68df15ad7286788b0,c5c7791e91649a82346e720c86a7a1fa77eb4cd5,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[1,43]",2025-05-14 19:29:19,django_security_analysis,gpt-4
commit-c85c8f88914cdba05813cc5768377841340bd09d,django/contrib/csrf/middleware.py,CWE-352,71233bcdf3c90098531901da4e380165ed0059d4,c85c8f88914cdba05813cc5768377841340bd09d,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[36,54]",2025-05-14 19:29:34,django_security_analysis,gpt-4
commit-c9032ab07f3694f3ae7da9b0017b764248ce28c9,django/core/serializers/python.py,CWE-502,febe05b9eff84ab1d1ec2af61f6cd8337422731a,c9032ab07f3694f3ae7da9b0017b764248ce28c9,deserialization,TP,Correctly detected vulnerability (CWE CWE-502),"[36,64]",2025-05-14 19:29:46,django_security_analysis,gpt-4
commit-cb060f0f340356ac71ed7db5399753edce278766,docs/releases/1.4.txt,CWE-352,06a2515145d8a5e6ee67da1f1849f157e23c6578,cb060f0f340356ac71ed7db5399753edce278766,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:29:49,django_security_analysis,gpt-4
commit-cba91997a24f3cb154c7c51029c6dd91471f8800,django/contrib/comments/templates/comments/flag.html,CWE-79,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,cba91997a24f3cb154c7c51029c6dd91471f8800,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352",[8],2025-05-14 19:29:57,django_security_analysis,gpt-4
commit-cc64fb5c4b4315a4ad66e21458e27ece57266847,django/contrib/auth/views.py,CWE-601,656360c24044e06c881baa648f2aad9d671c3bd8,cc64fb5c4b4315a4ad66e21458e27ece57266847,hardcodedspasswordcredential,FP,"False positive: AI reported CWE-601, expected CWE-798","[18,36]",2025-05-14 19:30:13,django_security_analysis,gpt-4
commit-cecc079168e8669138728d31611ff3a1e7eb3a9f,django/contrib/postgres/fields/hstore.py,CWE-20,7deeabc7c7526786df6894429ce89a9c4b614086,cecc079168e8669138728d31611ff3a1e7eb3a9f,:SQLNoSQLsinjection,FP,"False positive: AI reported CWE-20, expected CWE-89","[36,39]",2025-05-14 19:30:33,django_security_analysis,gpt-4
commit-cf37e4624a967f936ecbb5a4eefc9d38ed9d7892,django/db/models/sql/expressions.py,CWE-89,f0a7470e405cb237e8b5676fd10f1ea482787baf,cf37e4624a967f936ecbb5a4eefc9d38ed9d7892,:SQLNoSQLsinjection,TP,Correctly detected vulnerability (CWE CWE-89),"[13,14]",2025-05-14 19:30:44,django_security_analysis,gpt-4
commit-d106d07f732013eeb4667e73fa9cfd197e1d3484,docs/internals/deprecation.txt,CWE-352,5d80843ebc5376d00f98bf2a6aadbada4c29365c,d106d07f732013eeb4667e73fa9cfd197e1d3484,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:30:50,django_security_analysis,gpt-4
commit-d1e5c55258d624058a93c8cacdb1f25ae7857554,docs/releases/1.1.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,d1e5c55258d624058a93c8cacdb1f25ae7857554,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:30:53,django_security_analysis,gpt-4
commit-d228c1192ed59ab0114d9eba82ac99df611652d2,django/views/defaults.py,CWE-79,14b0132e5e70854076ea781451f5ff37f8dc8edd,d228c1192ed59ab0114d9eba82ac99df611652d2,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[18,20]",2025-05-14 19:31:10,django_security_analysis,gpt-4
commit-d334f46b7a080fd3eb720141c19b37b10704a352,django/core/checks/security/csrf.py,CWE-352,1299bc33e131a3c44b544b58c706bc998c4228ed,d334f46b7a080fd3eb720141c19b37b10704a352,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[3,13]",2025-05-14 19:31:18,django_security_analysis,gpt-4
commit-d4d800ca1addc4141e03c5440a849bb64d1582cd,tests/file_uploads/tests.py,CWE-434,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d,d4d800ca1addc4141e03c5440a849bb64d1582cd,,TP,Correctly detected vulnerability (CWE CWE-434),"[102,104]",2025-05-14 19:31:39,django_security_analysis,gpt-4
commit-d5a4f209c3889a76a23a19f3212ab2d7b5c62e1c,django/contrib/auth/tests/urls.py,CWE-79,9305c0e12d43c4df999c3301a1f0c742264a657e,d5a4f209c3889a76a23a19f3212ab2d7b5c62e1c,,FP,"False positive: AI reported CWE-79, expected CWE-640","[9,11]",2025-05-14 19:31:50,django_security_analysis,gpt-4
commit-d6eaf7c0183cd04b78f2a55e1d60bb7e59598310,tests/view_tests/tests/test_static.py,CWE-22,a1f948b468b6621083a03b0d53432341b7a4d753,d6eaf7c0183cd04b78f2a55e1d60bb7e59598310,,FP,"False positive: AI reported CWE-22, expected CWE-601","[26,27]",2025-05-14 19:32:08,django_security_analysis,gpt-4
commit-d73d0e071c1b4c86d57994a0ab55a74cfe80cdf5,tests/file_uploads/urls.py,CWE-611,d4d800ca1addc4141e03c5440a849bb64d1582cd,d73d0e071c1b4c86d57994a0ab55a74cfe80cdf5,,FP,"False positive: AI reported CWE-611, expected CWE-22","[5,14]",2025-05-14 19:32:26,django_security_analysis,gpt-4
commit-d7848c11e008ddeb036a95d389caa3b2c97b795e,django/views/debug.py,CWE-209,93c538694e6b14a29cb0f52b784a3bfed604fda6,d7848c11e008ddeb036a95d389caa3b2c97b795e,XSScross-ssitesscripting,FP,"False positive: AI reported CWE-209, expected CWE-79","[1,1000]",2025-05-14 19:32:42,django_security_analysis,gpt-4
commit-db5b75f10fe211af9fab9094f937436760db8488,docs/ref/checks.txt,CWE-79,54da6e2ac20bde80e0de9e35aa0c40ae1dd13943,db5b75f10fe211af9fab9094f937436760db8488,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 19:32:46,django_security_analysis,gpt-4
commit-dd842ad34d1199093b7498514cd274279eb1e1ca,django/contrib/admin/templates/admin/template_validator.html,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,dd842ad34d1199093b7498514cd274279eb1e1ca,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:32:48,django_security_analysis,gpt-4
commit-ddf169cdaca91e92dd5bfe6796bb6f38369ecb68,django/middleware/csrf.py,CWE-352,22e8ab02863819093832de9f771bf40a62a6bd4a,ddf169cdaca91e92dd5bfe6796bb6f38369ecb68,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[257,259]",2025-05-14 19:33:05,django_security_analysis,gpt-4
commit-dee7ef802d386951faef012c80a2a668b1926a78,MANIFEST.in,CWE-798,656360c24044e06c881baa648f2aad9d671c3bd8,dee7ef802d386951faef012c80a2a668b1926a78,hardcodedspasswordcredential,FN,Missed vulnerability: CWE CWE-798,,2025-05-14 19:33:09,django_security_analysis,gpt-4
commit-dfa28981ced2a6c005cc3c12fdc6b560080818a0,docs/releases/1.5.6.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,dfa28981ced2a6c005cc3c12fdc6b560080818a0,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:33:12,django_security_analysis,gpt-4
commit-e1cd5a76d739210ae3b45d2c5f1ac7a556d6fa53,tests/view_tests/tests/test_csrf.py,CWE-352,14b0132e5e70854076ea781451f5ff37f8dc8edd,e1cd5a76d739210ae3b45d2c5f1ac7a556d6fa53,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:33:15,django_security_analysis,gpt-4
commit-e458abc5931861e72f18b5d218726f9add7028cd,docs/ref/csrf.txt,CWE-352,708b01c79501eb9fd73cc5f01a724205d70a6d30,e458abc5931861e72f18b5d218726f9add7028cd,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:33:22,django_security_analysis,gpt-4
commit-e527c0b6d808cb8e4bedf79ded3dc4ad1a7e17a8,django/core/serializers/base.py,CWE-502,8e90560aa8868a42bb8eda6273595bf0932a6090,e527c0b6d808cb8e4bedf79ded3dc4ad1a7e17a8,deserialization,TP,Correctly detected vulnerability (CWE CWE-502),"[0,0]",2025-05-14 19:33:34,django_security_analysis,gpt-4
commit-e687794f6b04566ec1bf6d19a620c165d61f3c79,tests/csrf_tests/tests.py,CWE-352,0e540fca13ecf3d40be374ef7be94a0357222873,e687794f6b04566ec1bf6d19a620c165d61f3c79,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[255,257]",2025-05-14 19:33:48,django_security_analysis,gpt-4
commit-e8cff0b8f3920419b1031e16e2ee01851bd75e1d,django/views/csrf.py,CWE-79,71a7466dd67bd7cf88b4ce06535d8db0af6c7200,e8cff0b8f3920419b1031e16e2ee01851bd75e1d,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[1,73]",2025-05-14 19:34:01,django_security_analysis,gpt-4
commit-e9b90d98998da48d4ac18aabe135fa4200547be5,docs/ref/contrib/csrf.txt,CWE-352,64b4ab18b47354fbd28fa93a1bc770728c596aac,e9b90d98998da48d4ac18aabe135fa4200547be5,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:36:11,django_security_analysis,gpt-4
commit-e9d5ccb9ebc26a9712ea26d5c6c187b320bb1e20,docs/releases/index.txt,CWE-352,4d4d68a2cd8d93ce4bc4280b47051f294b280e73,e9d5ccb9ebc26a9712ea26d5c6c187b320bb1e20,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:36:12,django_security_analysis,gpt-4
commit-ea542a9c7239b5b665797b7c809f1aceb0b412cf,django/views/templates/technical_404.html,CWE-79,347551c2a1bc78b3a5886be6adde0c8151001acc,ea542a9c7239b5b665797b7c809f1aceb0b412cf,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[1,43]",2025-05-14 19:36:21,django_security_analysis,gpt-4
commit-eadcbcb131f2231ffcfa5c83a41c12f70f0a9af5,docs/ref/contrib/csrf.txt,CWE-352,d3641d889b0cf6fde3ca7d08530ed55331a0607d,eadcbcb131f2231ffcfa5c83a41c12f70f0a9af5,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:36:24,django_security_analysis,gpt-4
commit-eaf1f7d6e3a0cb700895e9986a246c03243c65b7,django/contrib/admin/templates/admin/delete_selected_confirmation.html,CWE-79,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,eaf1f7d6e3a0cb700895e9986a246c03243c65b7,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[5,5]",2025-05-14 19:36:36,django_security_analysis,gpt-4
commit-eb0ce6fa3669971f1e21a3fdba270cf33d603eaa,docs/releases/index.txt,CWE-22,d4d800ca1addc4141e03c5440a849bb64d1582cd,eb0ce6fa3669971f1e21a3fdba270cf33d603eaa,,FN,Missed vulnerability: CWE CWE-22,,2025-05-14 19:36:40,django_security_analysis,gpt-4
commit-ec8848dad50a4687a8bc3ba7270bf08dbf5ac25a,django/contrib/admin/sites.py,CWE-502,7230a995ce81a7b8dd093bd03cc5ebd34106ee80,ec8848dad50a4687a8bc3ba7270bf08dbf5ac25a,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-502, expected CWE-352","[23,30]",2025-05-14 19:36:52,django_security_analysis,gpt-4
commit-ef46f3778a0e8fee7f68c4cfb7ad60a3c8765934,docs/releases/5.0.txt,CWE-352,953f81e078fb7299b6d40d4e599e5f559e03952b,ef46f3778a0e8fee7f68c4cfb7ad60a3c8765934,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:36:55,django_security_analysis,gpt-4
commit-ef8a9bc7fafc394f2c413a6ad4057d67134d742b,docs/howto/index.txt,CWE-352,e458abc5931861e72f18b5d218726f9add7028cd,ef8a9bc7fafc394f2c413a6ad4057d67134d742b,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:36:59,django_security_analysis,gpt-4
commit-f0d6f01fbe171f4599fd13e34ccff0a5af653e90,docs/releases/index.txt,CWE-362,271542dad1686c438f658aa6220982495db09797,f0d6f01fbe171f4599fd13e34ccff0a5af653e90,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 19:37:01,django_security_analysis,gpt-4
commit-f12e3243326a2b6b0d09206b373b34e028eab25c,django/utils/cache.py,CWE-327,b5224693222a96a42e446e737f40fe9c8a48cf07,f12e3243326a2b6b0d09206b373b34e028eab25c,,FP,"False positive: AI reported CWE-327, expected CWE-524","[34,34]",2025-05-14 19:37:08,django_security_analysis,gpt-4
commit-f18b08748abaecb171fdcbcdfdcd7e4d95d931d1,tests/admin_views/tests.py,CWE-79,93c538694e6b14a29cb0f52b784a3bfed604fda6,f18b08748abaecb171fdcbcdfdcd7e4d95d931d1,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),"[1,1000]",2025-05-14 19:37:22,django_security_analysis,gpt-4
commit-f2582eb972303978a5fa115825a646a230624116,django/core/serializers/base.py,CWE-502,12716794dbcf2e1bf7a07bd18dfc0ae24be4e6f8,f2582eb972303978a5fa115825a646a230624116,deserialization,TP,Correctly detected vulnerability (CWE CWE-502),"[75,75]",2025-05-14 19:37:32,django_security_analysis,gpt-4
commit-f27a4ee3270bd57299ce02d622978ac4d839137e,docs/index.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,f27a4ee3270bd57299ce02d622978ac4d839137e,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:37:35,django_security_analysis,gpt-4
commit-f3e7ab366c597571198dc8d024f09e619991bac4,docs/releases/1.4.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,f3e7ab366c597571198dc8d024f09e619991bac4,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:37:38,django_security_analysis,gpt-4
commit-f5c9c2246e4b01f8731550c2a10241ca0e0148e9,docs/topics/security.txt,CWE-89,3776926cfe503f16c7195621da20c5b89bda70a2,f5c9c2246e4b01f8731550c2a10241ca0e0148e9,:SQLNoSQLsinjection,TP,Correctly detected vulnerability (CWE CWE-89),"[64,64]",2025-05-14 19:37:56,django_security_analysis,gpt-4
commit-f69cf70ed813a8cd7e1f963a14ae39103e8d5265,django/contrib/admin/views/decorators.py,CWE-327,41635d2176f7a950498b020f335232ad9f734279,f69cf70ed813a8cd7e1f963a14ae39103e8d5265,XSScross-ssitesscripting,FP,"False positive: AI reported CWE-327, expected CWE-79","[18,18]",2025-05-14 19:38:05,django_security_analysis,gpt-4
commit-f71f8546283dbdf698c7578f8f9154045c84f9e7,django/core/template/defaulttags.py,CWE-79,ac91a22ec2d98675d5700acd602d68fd04b3fd86,f71f8546283dbdf698c7578f8f9154045c84f9e7,,FP,"False positive: AI reported CWE-79, expected CWE-697",[167],2025-05-14 19:38:27,django_security_analysis,gpt-4
commit-f76cb41251818f9e30c05b672645667776bcc92e,docs/topics/http/middleware.txt,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,f76cb41251818f9e30c05b672645667776bcc92e,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:38:29,django_security_analysis,gpt-4
commit-f7969b0920c403118656f6bfec58d6454d79ef1a,tests/csrf_tests/tests.py,CWE-352,98019df855fb8fb93e4e9505afeedcad29da3125,f7969b0920c403118656f6bfec58d6454d79ef1a,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[234,235]",2025-05-14 19:38:47,django_security_analysis,gpt-4
commit-f7d01c49e95a9ed25dd75e6b3d4c063dff58e23a,django/contrib/admin/templates/admin/change_form.html,CWE-79,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,f7d01c49e95a9ed25dd75e6b3d4c063dff58e23a,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352",[5],2025-05-14 19:38:58,django_security_analysis,gpt-4
commit-f81d4ba5b3deceeacbe51923f379acb7d033665f,docs/releases/1.2.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,f81d4ba5b3deceeacbe51923f379acb7d033665f,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:39:01,django_security_analysis,gpt-4
commit-f8adf99cdb449924b2ed2ddac33744da7eeb1efc,django/contrib/comments/templates/comments/preview.html,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,f8adf99cdb449924b2ed2ddac33744da7eeb1efc,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:44:02,django_security_analysis,gpt-4
commit-f908eded21919cfbbbd1009c63f1cffa316ea2b2,django/contrib/comments/views/comments.py,CWE-79,7230a995ce81a7b8dd093bd03cc5ebd34106ee80,f908eded21919cfbbbd1009c63f1cffa316ea2b2,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[17,17]",2025-05-14 19:44:16,django_security_analysis,gpt-4
commit-f92a21daa78f4f1b34c0188d6d764a5992f94adc,django/middleware/csrf.py,CWE-352,e57e29616772fe628333fd71b3f4cf7c2c17eff8,f92a21daa78f4f1b34c0188d6d764a5992f94adc,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[86,86]",2025-05-14 19:44:36,django_security_analysis,gpt-4
commit-f93f056c32f614c9a130ec66824d94ec20526cdf,docs/topics/i18n/internationalization.txt,CWE-352,abd0e9628564015097ec0eac0b87fc6fab1d7b9f,f93f056c32f614c9a130ec66824d94ec20526cdf,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:44:38,django_security_analysis,gpt-4
commit-f9fba51164f36519e9b2f7917296ddd83b86ef47,django/views/decorators/csrf.py,CWE-352,63a9555d57069cee32de388821dbe580da1f97c0,f9fba51164f36519e9b2f7917296ddd83b86ef47,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[47,55]",2025-05-14 19:44:49,django_security_analysis,gpt-4
commit-fa680ce1e252666d125264b2e93782c127ebe8c8,docs/ref/csrf.txt,CWE-352,8e675e2bd8366adf5d0b579accfef75a7b1bc3bf,fa680ce1e252666d125264b2e93782c127ebe8c8,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:44:52,django_security_analysis,gpt-4
commit-fb1e3435a4d7e0265f19a1a9f130c9485fb8dfe9,docs/releases/1.6.3.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,fb1e3435a4d7e0265f19a1a9f130c9485fb8dfe9,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:47:03,django_security_analysis,gpt-4
commit-fb48eb05816b1ac87d58696cdfe48be18c901f16,django/contrib/admindocs/views.py,CWE-22,46572de2e92fdeaf047f80c44d52269e54ad68db,fb48eb05816b1ac87d58696cdfe48be18c901f16,,TP,Correctly detected vulnerability (CWE CWE-22),"[370,370]",2025-05-14 19:47:18,django_security_analysis,gpt-4
commit-fb564015960298ab820d7fd1c7edd3e96a8a95f0,docs/index.txt,CWE-352,04f869a80cb41a3e8c6d555cccb305fe7602753b,fb564015960298ab820d7fd1c7edd3e96a8a95f0,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:47:20,django_security_analysis,gpt-4
commit-fbb4f0797cc44fe2dedda38d1c681fe09473859e,django/contrib/admin/static/admin/js/admin/RelatedObjectLookups.js,CWE-79,93c538694e6b14a29cb0f52b784a3bfed604fda6,fbb4f0797cc44fe2dedda38d1c681fe09473859e,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),"[95,95]",2025-05-14 19:47:33,django_security_analysis,gpt-4
commit-fbc1fca834e8a53aee888d9970a87ff0b623ee0f,docs/releases/1.3.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,fbc1fca834e8a53aee888d9970a87ff0b623ee0f,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:47:36,django_security_analysis,gpt-4
commit-fc0fa72ff4cdbf5861a366e31cb8bbacd44da22d,django/core/handlers/exception.py,CWE-209,85ac33591c393f1480d4f23b4daff40119cb6410,fc0fa72ff4cdbf5861a366e31cb8bbacd44da22d,,FP,"False positive: AI reported CWE-209, expected CWE-400","[74,76]",2025-05-14 19:47:47,django_security_analysis,gpt-4
commit-fc19f9315be312b5e5f00e0004b8696e36f852e7,tests/get_or_create/models.py,CWE-89,271542dad1686c438f658aa6220982495db09797,fc19f9315be312b5e5f00e0004b8696e36f852e7,racescondition,FP,"False positive: AI reported CWE-89, expected CWE-362",[25],2025-05-14 19:48:00,django_security_analysis,gpt-4
commit-fc2b8ddcc8a0d68dcd333a77314c816469ba96af,django/conf/__init__.py,CWE-798,e01970e9d23a241473671ea26126f8440db4dead,fc2b8ddcc8a0d68dcd333a77314c816469ba96af,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-798, expected CWE-352",[85],2025-05-14 19:48:11,django_security_analysis,gpt-4
commit-fcd837cd0f9b2c706bc49af509628778d442bb3f,django/contrib/admin/templates/registration/password_reset_confirm.html,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,fcd837cd0f9b2c706bc49af509628778d442bb3f,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:48:14,django_security_analysis,gpt-4
commit-fd219fa24c7911adab60e1f5e4fd3d7f9d82a969,tests/admin_views/admin.py,CWE-79,82c9169077a066995e3b00aac551bf1c8a89d98a,fd219fa24c7911adab60e1f5e4fd3d7f9d82a969,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 19:48:16,django_security_analysis,gpt-4
commit-fd4698fe3f2a1cfe9deef83a95db725e5cb66f21,docs/releases/index.txt,CWE-451,1ecc0a395be721e987e8e9fdfadde952b6dee1c7,fd4698fe3f2a1cfe9deef83a95db725e5cb66f21,,FN,Missed vulnerability: CWE CWE-451,,2025-05-14 19:48:19,django_security_analysis,gpt-4
commit-fdd3cb4930b0e4386ac63b98f7e1b81670eedfaa,docs/topics/forms/index.txt,CWE-352,d3db878e4beff057400dd780c24f3601a5d31f95,fdd3cb4930b0e4386ac63b98f7e1b81670eedfaa,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:48:22,django_security_analysis,gpt-4
commit-fe3fc5210f0bb334a679ed420152af1c862c0239,django/core/checks/__init__.py,CWE-352,dba44a7a7a3581ec722e06fa0f9f33dfc00ed5cd,fe3fc5210f0bb334a679ed420152af1c862c0239,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:48:25,django_security_analysis,gpt-4
commit-ff05de760cc4ef4c7f188e163c722ec3bc1f0cbf,tests/template_backends/test_dummy.py,CWE-352,5b09354954348f1a56df32b2d7dbe074a23a4532,ff05de760cc4ef4c7f188e163c722ec3bc1f0cbf,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[60,68]",2025-05-14 19:48:40,django_security_analysis,gpt-4
commit-ff19df9c2d6ad80bb9177e8190176e9c3716705f,tests/admin_changelist/tests.py,CWE-352,e73fb2c9e1ecddf0016ea553350270c855d1de71,ff19df9c2d6ad80bb9177e8190176e9c3716705f,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:50:37,django_security_analysis,gpt-4
